defenseTeam,Adj_Def_SP,Adj_Rushing,Adj_Passing,year,new_coach,Off_Ratings
Louisiana Tech,30.2,109.9,93.3,2015,0,34.5
Louisville,21.2,120.7,104.4,2015,0,31.8
LSU,22.5,108.6,128,2015,0,39.7
Marshall,25.1,93.3,110,2015,0,24.1
Maryland,25.3,111,97.1,2015,0,28.3
Massachusetts,33,101.5,85.1,2015,0,23.9
Memphis,30,105,92.5,2015,0,35.2
Miami-FL,26.5,86,110.6,2015,0,31.8
Miami-OH,31.2,97.6,97.6,2015,0,17.2
Michigan State,19.3,119.2,123.5,2015,0,34.4
Middle Tennessee,30.9,89.6,83.1,2015,0,30.1
Minnesota,20.1,96.2,116.9,2015,0,29.7
Mississippi State,24.2,104.8,107,2015,0,39.1
Missouri,17.6,120,117.3,2015,0,15.8
Navy,26.3,112.4,102,2015,0,36.7
NC State,25.3,106,92.6,2015,0,34
Nevada,33.6,92.1,89.5,2015,0,24.8
New Mexico,35,95.2,84.1,2015,0,24.4
New Mexico State,42.6,85.3,80.3,2015,0,25.8
North Carolina,29.5,85.6,104.1,2015,0,38.9
North Texas,39.3,81.6,90.3,2015,0,16.1
Northern Illinois,26.6,100.6,98.6,2015,0,26.4
Northwestern,14.6,116.3,124.7,2015,0,20.7
Notre Dame,23.3,102.9,108.7,2015,0,41.2
Ohio,27,99.9,110.4,2015,0,27.6
Ohio State,16.7,118.8,138.2,2015,0,38
Oklahoma,21.3,116.1,131.4,2015,0,41.9
Oklahoma State,29.4,104.7,107.7,2015,0,38.1
Old Dominion,35.6,87,90.8,2015,0,22.4
Ole Miss,21.4,117.7,114.6,2015,0,41.6
Oregon,32.3,87.4,104.3,2015,0,43
Penn State,19.7,109.8,124.5,2015,0,29
Purdue,29.5,86.6,91,2015,0,27.9
Rice,40.9,86.1,76.4,2015,0,23.9
Rutgers,37.3,89.8,75,2015,0,26
San Diego State,21.9,122.9,109.3,2015,0,27.1
San Jose State,31.5,88.1,106.3,2015,0,27.2
South Alabama,34.7,91.3,101.5,2015,0,24.3
South Carolina,32.4,87.9,87.4,2015,0,28.2
South Florida,25.9,103.7,103,2015,0,31.5
Southern Miss,29.4,98,96,2015,0,33
Stanford,25.2,102.3,103.8,2015,0,41.2
Syracuse,29,92.6,86.6,2015,0,27.9
TCU,27.9,109.3,112,2015,0,39.7
Temple,21.7,113.3,113.1,2015,0,25.5
Tennessee,21.1,112,108.3,2015,0,32
Texas,28.2,97.3,116.3,2015,0,28.6
Texas A&M,22.4,95.8,138.7,2015,0,29.9
Texas State,42.8,85.2,76,2015,0,27.1
Texas Tech,41.2,80.3,93,2015,0,45.5
Toledo,21.8,121.6,112,2015,0,32.8
Tulane,33.9,98.4,88,2015,0,17
UCLA,25.7,100.7,116.7,2015,0,37.7
UL-Lafayette,36.5,92.3,92,2015,0,22.3
UL-Monroe,34.6,105.6,89.6,2015,0,15.3
USC,25,112.5,105.3,2015,0,38.7
Utah,20.2,127.7,113.8,2015,0,29.5
Utah State,23.4,121.2,110.1,2015,0,27.6
UTEP,38.9,98.7,82.1,2015,0,18
UTSA,34.5,99.7,87.3,2015,0,20
Vanderbilt,18.8,106.8,116.6,2015,0,18.7
Virginia,29.9,99.1,93.3,2015,0,30.9
Virginia Tech,24.4,108.6,105,2015,0,27.7
Wake Forest,25.7,114.8,93.4,2015,0,22.4
Washington,16.6,121.2,113.7,2015,0,33.5
Washington State,29.7,92.3,113.9,2015,0,32.1
West Virginia,22.9,130.1,114.7,2015,0,34.1
Western Kentucky,28,103.1,97.6,2015,0,42.5
Western Michigan,32.2,89.2,96.4,2015,0,37.2
Wyoming,37.1,93,80.5,2015,0,23.4
Air Force,31.6,124.3,91.7,2016,0,31.6
Akron,36,89.7,90.3,2016,0,24.4
Alabama,5.9,190.4,163.8,2016,0,39.4
Appalachian State,23.4,105.7,121.8,2016,0,30.3
Arizona,35.4,95.1,87.8,2016,0,30.1
Arizona State,36.9,92.1,91.9,2016,0,30.8
Arkansas,29,87.8,96.7,2016,0,34
Arkansas State,24.5,108.4,115.6,2016,0,22.2
Army,29.4,103.8,94.6,2016,0,23
Auburn,18.3,120.8,110.3,2016,0,34.8
Baylor,28.3,101.4,103.6,2016,0,34.1
Boise State,26,121.7,110.5,2016,0,37.8
Boston College,21.7,125.9,112,2016,0,17.2
Buffalo,36.4,83.4,93.2,2016,0,16.4
California,36,86.4,94.4,2016,0,40.1
Central Michigan,32.5,96.8,98.5,2016,0,26.7
Charlotte,36.1,105.7,89.2,2016,0,20
Cincinnati,27.8,100.7,93.1,2016,0,23.3
Clemson,13.8,113.6,133.5,2016,0,39.8
Colorado,19.6,111.9,124.4,2016,0,32.4
Colorado State,31.4,91,99.1,2016,0,37.3
Connecticut,32.3,98.3,82.3,2016,0,15.9
Duke,27.2,103.3,91.9,2016,0,27.6
Eastern Michigan,34.9,93,91.5,2016,0,30.4
Florida,13.3,122.9,131,2016,0,26
Florida Atlantic,41.5,90.3,78.1,2016,0,27.8
Florida International,37.7,88.3,88,2016,0,24.7
Florida State,19.3,112.3,118.8,2016,0,40.9
Fresno State,31.6,95.6,102.5,2016,0,17.8
Georgia State,27.8,91.7,116.9,2016,0,19.4
Georgia Tech,28.3,91.1,97.4,2016,0,33
